R,G,B,code
0,0,159.38,#00009F
0,0,191.25,#0000BF
0,0,223.13,#0000DF
0,0,255,#0000FF
0,31.875,255,#001FFF
0,63.75,255,#003FFF
0,95.625,255,#005FFF
0,127.5,255,#007FFF
0,159.38,255,#009FFF
0,191.25,255,#00BFFF
0,223.13,255,#00DFFF
0,255,255,#00FFFF
31.875,255,223.13,#1FFFDF
63.75,255,191.25,#3FFFBF
95.625,255,159.38,#5FFF9F
127.5,255,127.5,#7FFF7F
159.38,255,95.625,#9FFF5F
191.25,255,63.75,#BFFF3F
223.13,255,31.875,#DFFF1F
255,255,0,#FFFF00
255,223.13,0,#FFDF00
255,191.25,0,#FFBF00
255,159.38,0,#FF9F00
255,127.5,0,#FF7F00
255,95.625,0,#FF5F00
255,63.75,0,#FF3F00
255,31.875,0,#FF1F00
255,0,0,#FF0000
223.13,0,0,#DF0000
191.25,0,0,#BF0000
165.75,165.75,165.75,#A5A5A5
178.5,178.5,178.5,#B2B2B2
216.75,216.75,216.75,#D8D8D8
