0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8322,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13538,0,0
31081,0,0,0,0,0,12445,0,0,0,0,358,0,8481,0,0,1976,9,1,0,0,0,212,0,4,0,13,1,0,194,12824,0,0
24347,0,0,0,0,0,2396,0,0,0,0,23,0,41187,0,41,781,15,8,0,9736,0,95,0,7,0,17,0,0,74,9678,0,0
1031,0,0,0,0,0,38,0,0,0,0,3,0,80622,0,524,23,6,19,0,2782,0,15,0,2,0,44,0,0,48,5466,0,0
562,0,0,0,0,0,2388,0,0,0,0,493,0,77005,0,38,30,8,13,0,476,0,12,0,13,0,208,0,0,17,4018,0,0
3444,0,0,0,0,0,28761,0,0,0,0,899,0,47841,0,7,4348,0,13,0,132,21,17,0,13,0,579,0,0,5,2126,0,0
828,0,0,0,0,0,53857,0,0,0,0,618,0,21052,0,7,2659,1,72,0,134,1,117,0,1,0,153,0,0,0,317,0,0
923,0,0,0,0,0,32793,0,0,0,0,10,0,43450,0,0,523,0,11,0,240,0,148,0,11,0,16,0,0,1,2,0,0
60,0,0,0,0,0,10788,0,0,0,0,2,0,4961,0,0,1,0,6,0,25,0,23,0,3,0,3,0,0,6,323,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402,0,0
